trip_id,loco_id,train_number,route_from,route_to,departure_plan,departure_fact,arrival_plan,arrival_fact,delay_min,cargo_type,gross_weight_tons,distance_km,status
TR001,L001,3407,Новосибирск,Омск,2024-03-01 00:30:00,2024-03-01 00:33:00,2024-03-01 07:30:00,2024-03-01 07:38:00,8,уголь,4800,642,выполнен
TR002,L009,002,Новосибирск,Омск,2024-03-01 01:00:00,2024-03-01 01:02:00,2024-03-01 05:00:00,2024-03-01 05:03:00,3,пассажирский,0,642,выполнен
TR003,L016,3512,Новосибирск,Барнаул,2024-03-01 02:00:00,2024-03-01 02:15:00,2024-03-01 04:30:00,2024-03-01 04:52:00,22,нефтепродукты,3600,225,выполнен
TR004,L002,3601,Новосибирск,Красноярск,2024-03-01 03:00:00,2024-03-01 03:00:00,2024-03-01 11:30:00,2024-03-01 11:30:00,0,металлы,5200,836,выполнен
TR005,L010,006,Омск,Новосибирск,2024-03-01 04:00:00,2024-03-01 04:05:00,2024-03-01 08:00:00,2024-03-01 08:07:00,7,пассажирский,0,642,выполнен
TR006,L018,3708,Новосибирск,Кемерово,2024-03-01 05:30:00,2024-03-01 05:30:00,2024-03-01 08:45:00,2024-03-01 08:43:00,0,зерно,4100,307,выполнен
TR007,L024,6301,Новосибирск,Бердск,2024-03-01 06:00:00,2024-03-01 06:02:00,2024-03-01 07:05:00,2024-03-01 07:08:00,3,пассажирский,0,54,выполнен
TR008,L006,3815,Омск,Тюмень,2024-03-01 07:00:00,2024-03-01 07:45:00,2024-03-01 14:00:00,2024-03-01 14:47:00,47,уголь,4600,643,выполнен
TR009,L020,3901,Новосибирск,Барнаул,2024-03-01 08:00:00,2024-03-01 08:00:00,2024-03-01 10:30:00,2024-03-01 10:28:00,0,контейнеры,3200,225,выполнен
TR010,L013,008,Новосибирск,Красноярск,2024-03-01 09:00:00,2024-03-01 09:12:00,2024-03-01 17:30:00,2024-03-01 17:43:00,13,пассажирский,0,836,выполнен
TR011,L004,4002,Новосибирск,Омск,2024-03-01 10:00:00,2024-03-01 10:00:00,2024-03-01 17:00:00,2024-03-01 16:58:00,0,металлы,4900,642,выполнен
TR012,L008,4115,Новосибирск,Кемерово,2024-03-01 11:00:00,2024-03-01 11:22:00,2024-03-01 14:15:00,2024-03-01 14:38:00,23,нефтепродукты,3400,307,выполнен
TR013,L025,6305,Новосибирск,Бердск,2024-03-01 12:00:00,2024-03-01 12:00:00,2024-03-01 13:05:00,2024-03-01 13:04:00,0,пассажирский,0,54,выполнен
TR014,L001,4203,Омск,Новосибирск,2024-03-01 14:00:00,2024-03-01 14:08:00,2024-03-01 21:00:00,2024-03-01 21:09:00,9,уголь,4700,642,выполнен
TR015,L002,4307,Барнаул,Новосибирск,2024-03-01 15:00:00,2024-03-01 15:00:00,2024-03-01 17:30:00,2024-03-01 17:32:00,2,зерно,3800,225,выполнен
TR016,L016,4412,Омск,Тюмень,2024-03-01 16:00:00,2024-03-01 16:55:00,2024-03-01 23:00:00,2024-03-01 23:58:00,58,нефтепродукты,3900,643,выполнен
TR017,L009,012,Новосибирск,Барнаул,2024-03-01 17:00:00,2024-03-01 17:03:00,2024-03-01 19:15:00,2024-03-01 19:19:00,4,пассажирский,0,225,выполнен
TR018,L010,014,Красноярск,Новосибирск,2024-03-01 18:00:00,2024-03-01 18:00:00,2024-03-02 02:30:00,2024-03-02 02:30:00,0,пассажирский,0,836,выполнен
TR019,L004,4501,Новосибирск,Кемерово,2024-03-01 19:00:00,2024-03-01 19:00:00,2024-03-01 22:15:00,2024-03-01 22:17:00,2,уголь,5100,307,выполнен
TR020,L018,4608,Новосибирск,Омск,2024-03-01 20:00:00,2024-03-01 20:125:00,2024-03-02 03:00:00,2024-03-02 04:05:00,65,металлы,4300,642,выполнен
TR021,L001,4703,Новосибирск,Барнаул,2024-03-02 00:00:00,2024-03-02 00:00:00,2024-03-02 02:30:00,2024-03-02 02:29:00,0,контейнеры,3100,225,выполнен
TR022,L006,4801,Омск,Новосибирск,2024-03-02 01:00:00,2024-03-02 02:30:00,2024-03-02 08:00:00,2024-03-02 09:32:00,92,уголь,4800,642,выполнен
TR023,L009,016,Новосибирск,Омск,2024-03-02 02:00:00,2024-03-02 02:06:00,2024-03-02 06:00:00,2024-03-02 06:08:00,8,пассажирский,0,642,выполнен
TR024,L020,4912,Новосибирск,Красноярск,2024-03-02 03:00:00,2024-03-02 03:00:00,2024-03-02 11:30:00,2024-03-02 11:28:00,0,зерно,4200,836,выполнен
TR025,L013,018,Омск,Новосибирск,2024-03-02 04:00:00,2024-03-02 04:04:00,2024-03-02 08:00:00,2024-03-02 08:05:00,5,пассажирский,0,642,выполнен
TR026,L016,5003,Новосибирск,Кемерово,2024-03-02 05:00:00,2024-03-02 05:35:00,2024-03-02 08:15:00,2024-03-02 08:50:00,35,нефтепродукты,3700,307,выполнен
TR027,L002,5108,Кемерово,Новосибирск,2024-03-02 07:00:00,2024-03-02 07:00:00,2024-03-02 10:15:00,2024-03-02 10:14:00,0,уголь,4900,307,выполнен
TR028,L024,6307,Новосибирск,Бердск,2024-03-02 08:00:00,2024-03-02 08:01:00,2024-03-02 09:05:00,2024-03-02 09:07:00,2,пассажирский,0,54,выполнен
TR029,L008,5205,Новосибирск,Омск,2024-03-02 09:00:00,2024-03-02 09:18:00,2024-03-02 16:00:00,2024-03-02 16:19:00,19,металлы,5000,642,выполнен
TR030,L004,5301,Омск,Тюмень,2024-03-02 10:00:00,2024-03-02 10:00:00,2024-03-02 17:00:00,2024-03-02 16:59:00,0,контейнеры,3500,643,выполнен
TR031,L018,5412,Барнаул,Новосибирск,2024-03-02 11:00:00,2024-03-02 11:00:00,2024-03-02 13:30:00,2024-03-02 13:31:00,1,зерно,3900,225,выполнен
TR032,L001,5503,Новосибирск,Красноярск,2024-03-02 12:00:00,2024-03-02 12:140:00,2024-03-02 20:30:00,2024-03-02 21:50:00,80,уголь,4600,836,выполнен
TR033,L010,020,Новосибирск,Барнаул,2024-03-02 14:00:00,2024-03-02 14:07:00,2024-03-02 16:15:00,2024-03-02 16:22:00,7,пассажирский,0,225,выполнен
