equipment_id,equipment_type,model,serial_number,mine_section,year_manufactured,status,fuel_capacity_l,max_load_tons
EQ001,ПДМ,Sandvik LH514,SN-4872-A,Блок-1,2019,работает,450,14
EQ002,ПДМ,Sandvik LH514,SN-4873-B,Блок-1,2020,работает,450,14
EQ003,ПДМ,Sandvik LH514,SN-5101-C,Блок-2,2018,ТО,450,14
EQ004,ПДМ,Sandvik LH514,SN-5102-D,Блок-2,2021,работает,450,14
EQ005,ПДМ,Cat R1700,CR-7741-E,Блок-3,2020,работает,520,15
EQ006,ПДМ,Cat R1700,CR-7742-F,Блок-3,2019,ремонт,520,15
EQ007,ПДМ,Cat R1700,CR-8001-G,Блок-1,2022,работает,520,15
EQ008,ПДМ,Cat R1700,CR-8002-H,Блок-2,2021,работает,520,15
EQ009,Самосвал,Komatsu HD325-8,KH-3310-A,Блок-1,2018,работает,680,32
EQ010,Самосвал,Komatsu HD325-8,KH-3311-B,Блок-2,2019,работает,680,32
EQ011,Самосвал,Komatsu HD325-8,KH-3312-C,Блок-3,2020,ТО,680,32
EQ012,Самосвал,Komatsu HD325-8,KH-3313-D,Блок-2,2017,ремонт,680,32
EQ013,Самосвал,Komatsu HD325-8,KH-3314-E,Блок-3,2021,работает,680,32
EQ014,Вагонетка,ВГ-4.5,VG-0441-A,Ствол,2016,работает,0,4.5
EQ015,Вагонетка,ВГ-4.5,VG-0442-B,Ствол,2017,работает,0,4.5
EQ016,Вагонетка,ВГ-4.5,VG-0443-C,Ствол,2015,ТО,0,4.5
EQ017,Вагонетка,ВГ-4.5,VG-0444-D,Ствол,2018,работает,0,4.5
EQ018,Скиповой подъемник,СА-4,SK-1001-A,Ствол,2016,работает,0,0
EQ019,Скиповой подъемник,СА-4,SK-1002-B,Ствол,2018,работает,0,0
EQ020,Скиповой подъемник,СА-4,SK-1003-C,Ствол,2020,ТО,0,0
