maint_id,loco_id,maint_type,start_datetime,end_datetime,depot,technician_id,cost_rub,planned,description
MR001,L003,ТО-1,2024-03-01 08:00:00,2024-03-01 10:00:00,ТЧЭ-15,T001,5000,true,Технический осмотр — проверка тормозного оборудования и ходовой части
MR002,L005,ТО-2,2024-03-01 09:00:00,2024-03-01 15:00:00,ТЧЭ-16,T002,15000,true,ТО-2 — замена смазки буксовых узлов и проверка электрооборудования
MR003,L011,ТО-1,2024-03-01 10:00:00,2024-03-01 12:00:00,ТЧЭ-16,T003,5000,true,Технический осмотр пассажирского локомотива перед поездкой
MR004,L017,ТО-2,2024-03-01 07:00:00,2024-03-01 13:00:00,ТЧЭ-15,T004,15000,true,ТО-2 тепловоза — проверка дизельного двигателя и систем смазки
MR005,L022,ТО-1,2024-03-01 06:00:00,2024-03-01 07:30:00,ТЧЭ-16,T005,5000,true,Технический осмотр маневрового тепловоза перед сменой
MR006,L023,ТО-2,2024-03-02 08:00:00,2024-03-02 15:00:00,ТЧЭ-17,T006,15000,true,ТО-2 маневрового тепловоза — замена фильтров и проверка ТСКБМ
MR007,L007,ТО-1,2024-03-02 09:00:00,2024-03-02 11:00:00,ТЧЭ-17,T001,5000,false,Внеплановый осмотр после сигнала перегрева буксы
MR008,L014,ТО-2,2024-03-02 10:00:00,2024-03-02 18:00:00,ТЧЭ-16,T002,15000,true,ТО-2 перед выходом из резерва
MR009,L003,ТР-1,2024-03-03 08:00:00,2024-03-05 18:00:00,ТЧЭ-15,T003,150000,true,ТР-1 — замена колёсных пар и ревизия буксовых узлов
MR010,L019,ТО-1,2024-03-03 06:00:00,2024-03-03 07:30:00,ТЧЭ-17,T004,5000,false,Внеплановый осмотр — устранение утечки топлива
MR011,L005,ТР-1,2024-03-04 08:00:00,2024-03-06 20:00:00,ТЧЭ-16,T005,150000,true,ТР-1 грузового электровоза — ревизия тяговых двигателей
MR012,L011,ТО-2,2024-03-04 10:00:00,2024-03-04 18:00:00,ТЧЭ-16,T006,15000,true,ТО-2 — проверка пантографа и контактора
MR013,L021,ТО-1,2024-03-05 07:00:00,2024-03-05 08:30:00,ТЧЭ-15,T001,5000,true,Технический осмотр маневрового локомотива — начало смены
MR014,L004,ТО-2,2024-03-05 08:00:00,2024-03-05 14:00:00,ТЧЭ-15,T002,15000,false,Внеплановое ТО-2 после аварийного сигнала температуры буксы 87°C
